time,weather_code,temperature_2m_max,precipitation_hours,temperature_2m_min,sunrise,sunset,sunshine_duration
2023-01-01,51,10.5,5.4,2.4,2023-01-01T08:17,2023-01-01T15:58,14170.25
2023-01-02,3,6.8,3.4,-2.9,2023-01-02T08:17,2023-01-02T15:59,21956.55
2023-01-03,55,12.1,7.6,-3.3,2023-01-03T08:17,2023-01-03T16:00,0.00
2023-01-04,51,12.4,7.5,4.7,2023-01-04T08:16,2023-01-04T16:01,20108.16
2023-01-05,51,11.9,8.7,4.3,2023-01-05T08:16,2023-01-05T16:03,0.00
2023-01-06,63,11.4,7.1,1.8,2023-01-06T08:16,2023-01-06T16:04,10706.42
2023-01-07,55,11.4,7.0,0.7,2023-01-07T08:15,2023-01-07T16:05,7397.20
2023-01-08,55,8.0,3.0,-0.5,2023-01-08T08:15,2023-01-08T16:07,1960.18
2023-01-09,3,6.6,1.9,-1.0,2023-01-09T08:14,2023-01-09T16:08,14217.98
2023-01-10,61,12.5,7.0,-0.7,2023-01-10T08:13,2023-01-10T16:09,0.00
2023-01-11,61,8.9,3.8,0.3,2023-01-11T08:13,2023-01-11T16:11,15446.54
2023-01-12,63,11.9,7.2,-0.7,2023-01-12T08:12,2023-01-12T16:12,5367.09
2023-01-13,3,8.9,2.4,-1.1,2023-01-13T08:11,2023-01-13T16:14,19704.13
2023-01-14,63,10.8,6.2,-3.0,2023-01-14T08:10,2023-01-14T16:16,758.20
2023-01-15,51,6.4,2.0,-4.3,2023-01-15T08:10,2023-01-15T16:17,10800.00
2023-01-16,3,2.6,0.3,-7.5,2023-01-16T08:09,2023-01-16T16:19,16602.68
2023-01-17,0,2.5,-2.2,-7.7,2023-01-17T08:08,2023-01-17T16:20,24244.20
2023-01-18,73,4.3,-0.2,-6.3,2023-01-18T08:07,2023-01-18T16:22,24273.50
2023-01-19,2,3.9,-0.6,-6.2,2023-01-19T08:06,2023-01-19T16:24,24546.42
2023-01-20,1,5.9,1.4,-4.0,2023-01-20T08:04,2023-01-20T16:25,24774.21
2023-01-21,2,3.5,0.3,-8.9,2023-01-21T08:03,2023-01-21T16:27,24854.07
2023-01-22,3,2.6,-1.0,-6.9,2023-01-22T08:02,2023-01-22T16:29,5756.95
2023-01-23,3,4.2,1.1,-5.2,2023-01-23T08:01,2023-01-23T16:31,17062.90
2023-01-24,3,5.1,1.9,-6.0,2023-01-24T07:59,2023-01-24T16:33,25521.63
2023-01-25,51,8.8,5.6,-1.3,2023-01-25T07:58,2023-01-25T16:34,4996.70
2023-01-26,3,7.2,2.5,-2.3,2023-01-26T07:57,2023-01-26T16:36,22354.73
2023-01-27,3,6.0,2.8,-3.2,2023-01-27T07:55,2023-01-27T16:38,16625.60
2023-01-28,3,7.7,4.9,-3.6,2023-01-28T07:54,2023-01-28T16:40,13945.97
2023-01-29,51,8.6,4.1,0.3,2023-01-29T07:52,2023-01-29T16:42,24941.77
2023-01-30,51,8.6,4.5,-0.7,2023-01-30T07:51,2023-01-30T16:44,26751.71
2023-01-31,3,9.5,3.7,-0.4,2023-01-31T07:49,2023-01-31T16:46,26640.93
2023-02-01,51,9.3,4.1,-1.0,2023-02-01T07:47,2023-02-01T16:48,20798.43
2023-02-02,51,11.2,6.9,1.3,2023-02-02T07:46,2023-02-02T16:50,6772.41
2023-02-03,3,12.2,8.5,4.2,2023-02-03T07:44,2023-02-03T16:52,17088.81
2023-02-04,3,9.6,6.5,3.1,2023-02-04T07:42,2023-02-04T16:54,16179.71
2023-02-05,2,7.1,4.4,-4.8,2023-02-05T07:41,2023-02-05T16:55,27757.89
2023-02-06,3,6.6,3.1,-7.2,2023-02-06T07:39,2023-02-06T16:57,28946.67
2023-02-07,2,7.3,4.5,-6.1,2023-02-07T07:37,2023-02-07T16:59,29194.91
2023-02-08,3,5.8,1.4,-5.6,2023-02-08T07:35,2023-02-08T17:01,24372.37
2023-02-09,3,8.1,3.5,-2.8,2023-02-09T07:33,2023-02-09T17:03,29253.62
2023-02-10,3,9.0,5.4,-4.1,2023-02-10T07:32,2023-02-10T17:05,5005.88
2023-02-11,3,10.6,7.6,0.9,2023-02-11T07:30,2023-02-11T17:07,15127.54
2023-02-12,3,9.1,6.0,1.9,2023-02-12T07:28,2023-02-12T17:09,4668.32
2023-02-13,3,9.3,6.3,0.6,2023-02-13T07:26,2023-02-13T17:11,27503.07
2023-02-14,3,10.7,8.7,-4.6,2023-02-14T07:24,2023-02-14T17:13,30971.90
2023-02-15,3,11.9,7.9,-3.4,2023-02-15T07:22,2023-02-15T17:15,25200.00
2023-02-16,53,12.3,9.5,2.4,2023-02-16T07:20,2023-02-16T17:17,3540.17
2023-02-17,53,14.1,10.1,5.1,2023-02-17T07:17,2023-02-17T17:19,15894.49
2023-02-18,51,13.2,9.4,4.8,2023-02-18T07:15,2023-02-18T17:21,22433.02
2023-02-19,3,11.9,7.4,1.9,2023-02-19T07:13,2023-02-19T17:22,31298.50
2023-02-20,3,13.2,9.5,2.9,2023-02-20T07:11,2023-02-20T17:24,5964.78
2023-02-21,3,10.7,7.3,4.1,2023-02-21T07:09,2023-02-21T17:26,7077.01
2023-02-22,51,9.5,5.1,0.7,2023-02-22T07:07,2023-02-22T17:28,17643.97
2023-02-23,51,7.7,3.5,-2.8,2023-02-23T07:05,2023-02-23T17:30,28978.34
2023-02-24,51,9.8,5.4,-1.9,2023-02-24T07:02,2023-02-24T17:32,11252.01
2023-02-25,3,6.5,0.6,-3.0,2023-02-25T07:00,2023-02-25T17:34,18949.82
2023-02-26,51,7.1,2.1,-2.1,2023-02-26T06:58,2023-02-26T17:36,15333.23
2023-02-27,51,6.7,2.8,-0.1,2023-02-27T06:56,2023-02-27T17:38,5384.99
2023-02-28,51,7.5,2.6,1.1,2023-02-28T06:54,2023-02-28T17:40,415.37
2023-03-01,51,7.5,2.1,0.9,2023-03-01T06:52,2023-03-01T17:41,9106.37
2023-03-02,3,6.9,2.8,-0.4,2023-03-02T06:49,2023-03-02T17:43,13182.02
2023-03-03,3,6.9,3.3,-0.8,2023-03-03T06:47,2023-03-03T17:45,4133.57
2023-03-04,3,6.3,2.7,-1.4,2023-03-04T06:45,2023-03-04T17:47,17341.21
2023-03-05,3,5.4,1.7,-4.8,2023-03-05T06:42,2023-03-05T17:49,10800.00
2023-03-06,73,7.3,2.1,-4.3,2023-03-06T06:40,2023-03-06T17:51,7501.83
2023-03-07,71,5.4,1.2,-6.7,2023-03-07T06:38,2023-03-07T17:53,33111.23
2023-03-08,73,3.9,-1.6,-6.7,2023-03-08T06:35,2023-03-08T17:54,5944.82
2023-03-09,75,1.5,-3.2,-5.1,2023-03-09T06:33,2023-03-09T17:56,0.00
2023-03-10,73,2.4,-2.1,-12.8,2023-03-10T06:31,2023-03-10T17:58,28680.33
2023-03-11,75,6.3,2.3,-8.8,2023-03-11T06:28,2023-03-11T18:00,10800.00
2023-03-12,55,13.3,8.0,-0.8,2023-03-12T06:26,2023-03-12T18:02,21722.12
2023-03-13,61,13.3,7.1,2.6,2023-03-13T06:23,2023-03-13T18:04,20568.09
2023-03-14,73,7.1,2.5,-3.6,2023-03-14T06:21,2023-03-14T18:05,27016.32
2023-03-15,53,7.4,2.4,-7.8,2023-03-15T06:19,2023-03-15T18:07,19271.62
2023-03-16,51,12.8,8.3,2.3,2023-03-16T06:16,2023-03-16T18:09,969.76
2023-03-17,53,14.6,11.0,6.3,2023-03-17T06:14,2023-03-17T18:11,25806.44
2023-03-18,63,12.9,11.9,3.3,2023-03-18T06:12,2023-03-18T18:13,575.68
2023-03-19,53,11.1,7.6,0.9,2023-03-19T06:09,2023-03-19T18:15,15657.87
2023-03-20,53,14.3,11.6,2.9,2023-03-20T06:07,2023-03-20T18:16,7419.58
2023-03-21,55,14.3,9.2,4.8,2023-03-21T06:05,2023-03-21T18:18,23891.76
2023-03-22,53,13.5,7.6,3.8,2023-03-22T06:02,2023-03-22T18:20,35265.66
2023-03-23,61,13.7,7.8,1.2,2023-03-23T06:00,2023-03-23T18:22,34204.20
2023-03-24,55,12.8,6.2,0.8,2023-03-24T05:57,2023-03-24T18:23,40297.93
2023-03-25,51,11.8,7.5,0.9,2023-03-25T05:55,2023-03-25T18:25,40174.68
2023-03-26,53,8.0,3.2,0.3,2023-03-26T05:53,2023-03-26T18:27,1579.55
2023-03-27,51,8.5,5.3,-5.4,2023-03-27T05:50,2023-03-27T18:29,28960.30
2023-03-28,61,8.8,5.4,-0.2,2023-03-28T05:48,2023-03-28T18:31,0.00
2023-03-29,61,13.7,10.2,4.7,2023-03-29T05:45,2023-03-29T18:32,1571.93
2023-03-30,63,15.1,11.5,4.7,2023-03-30T05:43,2023-03-30T18:34,35859.03
2023-03-31,63,12.1,9.3,4.2,2023-03-31T05:41,2023-03-31T18:36,4137.24
2023-04-01,51,9.8,5.5,2.5,2023-04-01T05:38,2023-04-01T18:38,7335.57
2023-04-02,51,9.6,5.7,-1.1,2023-04-02T05:36,2023-04-02T18:40,29615.82
2023-04-03,3,11.0,7.7,-3.9,2023-04-03T05:33,2023-04-03T18:41,42771.97
2023-04-04,3,11.9,9.0,-4.3,2023-04-04T05:31,2023-04-04T18:43,43035.71
2023-04-05,53,9.5,6.5,2.3,2023-04-05T05:29,2023-04-05T18:45,0.00
2023-04-06,53,12.3,8.0,1.8,2023-04-06T05:26,2023-04-06T18:47,32932.05
2023-04-07,1,14.4,11.7,-0.2,2023-04-07T05:24,2023-04-07T18:49,43575.49
2023-04-08,3,14.0,11.6,-1.1,2023-04-08T05:22,2023-04-08T18:50,43316.21
2023-04-09,51,13.4,10.0,2.0,2023-04-09T05:19,2023-04-09T18:52,16276.30
2023-04-10,61,12.2,7.8,1.5,2023-04-10T05:17,2023-04-10T18:54,23690.99
2023-04-11,61,11.9,7.1,-0.9,2023-04-11T05:15,2023-04-11T18:56,28419.36
2023-04-12,73,8.5,1.8,-1.6,2023-04-12T05:13,2023-04-12T18:57,35804.08
2023-04-13,71,11.1,5.7,-0.6,2023-04-13T05:10,2023-04-13T18:59,44381.50
2023-04-14,63,8.3,6.0,-1.8,2023-04-14T05:08,2023-04-14T19:01,2076.58
2023-04-15,51,13.0,12.0,2.2,2023-04-15T05:06,2023-04-15T19:03,31483.44
2023-04-16,51,13.0,10.1,3.2,2023-04-16T05:03,2023-04-16T19:05,8818.16
2023-04-17,51,15.0,12.8,2.5,2023-04-17T05:01,2023-04-17T19:06,22572.88
2023-04-18,3,13.2,8.5,2.1,2023-04-18T04:59,2023-04-18T19:08,42594.99
2023-04-19,3,13.3,8.4,1.0,2023-04-19T04:57,2023-04-19T19:10,43493.67
2023-04-20,3,13.3,8.6,0.4,2023-04-20T04:54,2023-04-20T19:12,44978.79
2023-04-21,61,12.0,7.3,3.2,2023-04-21T04:52,2023-04-21T19:13,23949.92
2023-04-22,53,12.2,8.7,4.2,2023-04-22T04:50,2023-04-22T19:15,32501.79
2023-04-23,53,10.6,7.3,2.3,2023-04-23T04:48,2023-04-23T19:17,7360.72
2023-04-24,51,9.9,5.8,-1.0,2023-04-24T04:46,2023-04-24T19:19,42341.65
2023-04-25,3,9.7,6.7,-3.3,2023-04-25T04:44,2023-04-25T19:21,36551.28
2023-04-26,51,11.2,8.7,0.6,2023-04-26T04:42,2023-04-26T19:22,32993.76
2023-04-27,61,11.7,7.6,1.1,2023-04-27T04:39,2023-04-27T19:24,1031.06
2023-04-28,53,13.6,11.4,3.8,2023-04-28T04:37,2023-04-28T19:26,7428.78
2023-04-29,61,17.1,16.5,1.6,2023-04-29T04:35,2023-04-29T19:28,42504.50
2023-04-30,51,15.3,11.9,7.5,2023-04-30T04:33,2023-04-30T19:29,29481.72
2023-05-01,51,16.3,13.2,6.8,2023-05-01T04:31,2023-05-01T19:31,40988.12
2023-05-02,51,13.7,11.8,4.3,2023-05-02T04:30,2023-05-02T19:33,24356.55
2023-05-03,3,13.3,9.8,1.7,2023-05-03T04:28,2023-05-03T19:35,42897.10
2023-05-04,61,14.5,10.4,1.9,2023-05-04T04:26,2023-05-04T19:36,44778.26
2023-05-05,63,16.8,15.8,8.9,2023-05-05T04:24,2023-05-05T19:38,37241.47
2023-05-06,53,15.1,13.2,7.4,2023-05-06T04:22,2023-05-06T19:40,392.51
2023-05-07,51,19.0,17.7,10.0,2023-05-07T04:20,2023-05-07T19:41,40222.81
2023-05-08,63,16.5,13.9,7.9,2023-05-08T04:18,2023-05-08T19:43,1057.42
2023-05-09,61,17.4,17.1,7.7,2023-05-09T04:16,2023-05-09T19:45,32657.90
2023-05-10,63,16.1,14.5,4.6,2023-05-10T04:15,2023-05-10T19:47,39606.12
2023-05-11,63,15.2,14.8,5.6,2023-05-11T04:13,2023-05-11T19:48,43200.00
2023-05-12,51,14.1,9.5,5.6,2023-05-12T04:11,2023-05-12T19:50,9521.15
2023-05-13,3,15.1,13.9,4.5,2023-05-13T04:09,2023-05-13T19:52,33910.30
2023-05-14,3,19.1,17.7,3.5,2023-05-14T04:08,2023-05-14T19:53,38230.41
2023-05-15,51,13.8,10.5,3.7,2023-05-15T04:06,2023-05-15T19:55,50530.82
2023-05-16,53,14.9,11.1,3.3,2023-05-16T04:05,2023-05-16T19:56,48239.98
2023-05-17,51,16.8,15.8,5.5,2023-05-17T04:03,2023-05-17T19:58,35656.21
2023-05-18,3,18.3,16.9,5.8,2023-05-18T04:02,2023-05-18T20:00,32635.04
2023-05-19,61,16.7,16.7,7.6,2023-05-19T04:00,2023-05-19T20:01,40825.14
2023-05-20,2,17.1,15.2,3.9,2023-05-20T03:59,2023-05-20T20:03,52269.64
2023-05-21,3,18.3,16.4,3.9,2023-05-21T03:57,2023-05-21T20:04,52790.82
2023-05-22,3,19.5,17.7,5.6,2023-05-22T03:56,2023-05-22T20:06,51135.71
2023-05-23,51,17.2,15.5,7.6,2023-05-23T03:55,2023-05-23T20:07,43180.01
2023-05-24,2,19.5,19.2,7.2,2023-05-24T03:53,2023-05-24T20:08,52466.45
2023-05-25,3,17.8,16.0,9.1,2023-05-25T03:52,2023-05-25T20:10,51328.22
2023-05-26,3,18.6,17.0,7.4,2023-05-26T03:51,2023-05-26T20:11,51424.25
2023-05-27,1,20.0,20.4,3.6,2023-05-27T03:50,2023-05-27T20:13,53847.42
2023-05-28,51,18.3,16.3,6.5,2023-05-28T03:49,2023-05-28T20:14,35838.18
2023-05-29,3,16.0,13.5,4.2,2023-05-29T03:48,2023-05-29T20:15,41482.64
2023-05-30,3,15.4,12.2,3.7,2023-05-30T03:47,2023-05-30T20:17,17933.22
2023-05-31,51,14.4,11.2,6.8,2023-05-31T03:46,2023-05-31T20:18,7701.12
2023-06-01,3,15.7,12.6,6.1,2023-06-01T03:45,2023-06-01T20:19,7943.67
2023-06-02,3,16.8,14.3,5.3,2023-06-02T03:44,2023-06-02T20:20,44839.41
2023-06-03,2,18.8,17.5,4.0,2023-06-03T03:43,2023-06-03T20:21,54299.86
2023-06-04,3,18.2,16.9,4.4,2023-06-04T03:43,2023-06-04T20:22,49752.95
2023-06-05,51,16.9,13.7,6.8,2023-06-05T03:42,2023-06-05T20:23,30110.83
2023-06-06,51,14.0,10.9,6.5,2023-06-06T03:41,2023-06-06T20:24,8368.30
2023-06-07,51,15.8,12.6,7.0,2023-06-07T03:41,2023-06-07T20:25,26445.25
2023-06-08,3,17.4,15.6,6.5,2023-06-08T03:40,2023-06-08T20:26,45636.08
2023-06-09,1,19.6,17.9,6.0,2023-06-09T03:40,2023-06-09T20:27,55147.53
2023-06-10,51,27.2,27.6,6.7,2023-06-10T03:39,2023-06-10T20:28,55487.25
2023-06-11,53,28.2,30.7,12.6,2023-06-11T03:39,2023-06-11T20:29,53362.43
2023-06-12,63,27.2,29.2,14.9,2023-06-12T03:39,2023-06-12T20:29,45035.43
2023-06-13,2,26.2,24.8,11.1,2023-06-13T03:38,2023-06-13T20:30,55644.87
2023-06-14,0,23.9,22.1,8.0,2023-06-14T03:38,2023-06-14T20:31,55686.94
2023-06-15,2,24.4,24.0,10.3,2023-06-15T03:38,2023-06-15T20:31,55723.70
2023-06-16,2,25.0,25.0,10.6,2023-06-16T03:38,2023-06-16T20:32,53580.88
2023-06-17,51,23.2,21.2,10.5,2023-06-17T03:38,2023-06-17T20:32,43231.29
2023-06-18,63,23.3,25.1,11.9,2023-06-18T03:38,2023-06-18T20:33,24980.74
2023-06-19,53,23.4,21.8,13.3,2023-06-19T03:38,2023-06-19T20:33,55816.81
2023-06-20,63,20.6,20.8,14.2,2023-06-20T03:38,2023-06-20T20:33,28984.17
2023-06-21,51,22.7,22.0,12.5,2023-06-21T03:38,2023-06-21T20:34,55830.51
2023-06-22,63,23.8,25.5,15.1,2023-06-22T03:39,2023-06-22T20:34,48530.05
2023-06-23,3,23.4,22.6,15.0,2023-06-23T03:39,2023-06-23T20:34,19063.71
2023-06-24,51,25.9,26.4,15.9,2023-06-24T03:39,2023-06-24T20:34,40009.56
2023-06-25,63,28.2,27.3,12.2,2023-06-25T03:40,2023-06-25T20:34,54217.75
2023-06-26,51,19.7,15.7,10.5,2023-06-26T03:40,2023-06-26T20:34,55767.25
2023-06-27,51,19.7,18.9,10.7,2023-06-27T03:40,2023-06-27T20:34,193.40
2023-06-28,61,22.7,22.1,15.1,2023-06-28T03:41,2023-06-28T20:34,23219.15
2023-06-29,51,20.1,17.8,9.8,2023-06-29T03:42,2023-06-29T20:34,49914.50
2023-06-30,51,18.5,17.1,8.4,2023-06-30T03:42,2023-06-30T20:33,0.00
2023-07-01,51,20.0,16.4,10.7,2023-07-01T03:43,2023-07-01T20:33,46285.89
2023-07-02,3,17.5,12.6,9.0,2023-07-02T03:44,2023-07-02T20:33,44518.55
2023-07-03,51,17.1,12.4,7.4,2023-07-03T03:44,2023-07-03T20:32,44527.30
