time,weather_code,temperature_2m_max,sunshine_duration,temperature_2m_min,sunrise,sunset,precipitation_hours
2023-01-01,51,9.4,5.1,1.5,2023-01-01T08:30,2023-01-01T16:07,11819.64
2023-01-02,51,6.9,4.1,-1.7,2023-01-02T08:29,2023-01-02T16:08,21933.28
2023-01-03,63,12.5,9.3,-1.5,2023-01-03T08:29,2023-01-03T16:09,0.00
2023-01-04,51,12.3,8.4,6.5,2023-01-04T08:29,2023-01-04T16:10,11717.63
2023-01-05,63,11.6,9.0,4.3,2023-01-05T08:29,2023-01-05T16:12,0.00
2023-01-06,51,12.0,8.7,2.8,2023-01-06T08:28,2023-01-06T16:13,10445.87
2023-01-07,61,12.0,8.4,0.8,2023-01-07T08:28,2023-01-07T16:14,17431.96
2023-01-08,53,8.0,3.5,0.7,2023-01-08T08:27,2023-01-08T16:16,6388.30
2023-01-09,51,7.2,2.8,0.4,2023-01-09T08:26,2023-01-09T16:17,21275.82
2023-01-10,63,12.5,7.6,1.1,2023-01-10T08:26,2023-01-10T16:19,0.00
2023-01-11,63,9.4,5.6,1.4,2023-01-11T08:25,2023-01-11T16:20,9631.88
2023-01-12,61,11.9,7.3,0.1,2023-01-12T08:24,2023-01-12T16:22,8494.25
2023-01-13,55,8.6,3.3,0.7,2023-01-13T08:24,2023-01-13T16:23,20444.66
2023-01-14,61,10.1,7.3,-2.4,2023-01-14T08:23,2023-01-14T16:25,13366.91
2023-01-15,73,6.6,3.2,-2.2,2023-01-15T08:22,2023-01-15T16:26,17231.39
2023-01-16,73,4.1,-0.0,-3.8,2023-01-16T08:21,2023-01-16T16:28,24037.54
2023-01-17,75,3.5,-0.8,-4.0,2023-01-17T08:20,2023-01-17T16:30,23498.01
2023-01-18,75,4.6,0.0,-3.4,2023-01-18T08:19,2023-01-18T16:31,13673.88
2023-01-19,73,4.5,0.2,-2.9,2023-01-19T08:18,2023-01-19T16:33,23574.96
2023-01-20,53,6.3,3.4,-6.3,2023-01-20T08:17,2023-01-20T16:35,24734.12
2023-01-21,3,3.4,-1.5,-4.9,2023-01-21T08:15,2023-01-21T16:37,10981.03
2023-01-22,55,6.0,2.2,-0.5,2023-01-22T08:14,2023-01-22T16:38,0.00
2023-01-23,51,9.7,7.4,2.8,2023-01-23T08:13,2023-01-23T16:40,8455.81
2023-01-24,3,9.8,8.5,2.9,2023-01-24T08:11,2023-01-24T16:42,20560.93
2023-01-25,53,10.0,6.9,2.1,2023-01-25T08:10,2023-01-25T16:44,3600.00
2023-01-26,51,7.0,4.2,-1.6,2023-01-26T08:09,2023-01-26T16:46,25273.60
2023-01-27,3,6.1,4.1,-0.8,2023-01-27T08:07,2023-01-27T16:48,11035.38
2023-01-28,51,8.3,6.3,0.3,2023-01-28T08:06,2023-01-28T16:50,7913.63
2023-01-29,51,9.7,5.5,1.9,2023-01-29T08:04,2023-01-29T16:52,20116.72
2023-01-30,51,8.1,3.9,0.4,2023-01-30T08:02,2023-01-30T16:53,25483.56
2023-01-31,51,9.4,4.8,1.2,2023-01-31T08:01,2023-01-31T16:55,25960.13
2023-02-01,51,9.3,4.6,1.2,2023-02-01T07:59,2023-02-01T16:57,10673.67
2023-02-02,3,11.4,7.6,3.3,2023-02-02T07:58,2023-02-02T16:59,15231.24
