time,weather_code,temperature_2m_max,precipitation_hours,temperature_2m_min,sunrise,sunset,sunshine_duration
2023-01-01,51,9.5,5.3,1.9,2023-01-01T08:18,2023-01-01T16:03,14229.70
2023-01-02,3,6.3,3.1,-2.5,2023-01-02T08:17,2023-01-02T16:04,22512.79
2023-01-03,53,11.5,7.3,-2.6,2023-01-03T08:17,2023-01-03T16:06,0.00
2023-01-04,53,12.0,8.0,4.8,2023-01-04T08:17,2023-01-04T16:07,19648.30
2023-01-05,53,11.6,8.4,4.7,2023-01-05T08:17,2023-01-05T16:08,0.00
2023-01-06,63,10.8,6.4,0.9,2023-01-06T08:16,2023-01-06T16:09,4041.12
2023-01-07,61,10.7,6.3,0.2,2023-01-07T08:16,2023-01-07T16:11,7788.65
2023-01-08,61,7.2,1.8,-1.0,2023-01-08T08:15,2023-01-08T16:12,3251.78
2023-01-09,3,6.4,1.4,-1.0,2023-01-09T08:15,2023-01-09T16:13,23415.54
2023-01-10,61,11.7,6.8,-1.1,2023-01-10T08:14,2023-01-10T16:15,0.00
2023-01-11,61,8.2,3.7,0.3,2023-01-11T08:13,2023-01-11T16:16,13273.76
2023-01-12,61,10.9,6.9,-0.4,2023-01-12T08:13,2023-01-12T16:18,5580.45
2023-01-13,51,8.3,2.6,-0.5,2023-01-13T08:12,2023-01-13T16:19,23822.30
2023-01-14,63,10.5,6.7,-3.2,2023-01-14T08:11,2023-01-14T16:21,1284.69
2023-01-15,51,5.9,1.0,-3.8,2023-01-15T08:10,2023-01-15T16:22,11431.00
2023-01-16,51,2.7,-2.1,-7.3,2023-01-16T08:10,2023-01-16T16:24,13690.30
2023-01-17,3,1.8,-2.4,-7.4,2023-01-17T08:09,2023-01-17T16:26,24538.16
2023-01-18,3,4.1,-0.7,-6.5,2023-01-18T08:08,2023-01-18T16:27,24187.34
2023-01-19,51,3.6,-0.7,-5.6,2023-01-19T08:07,2023-01-19T16:29,24886.33
2023-01-20,3,5.2,1.7,-6.1,2023-01-20T08:05,2023-01-20T16:31,25034.85
2023-01-21,3,2.7,-0.9,-6.8,2023-01-21T08:04,2023-01-21T16:32,16670.43
2023-01-22,3,3.3,-0.8,-6.7,2023-01-22T08:03,2023-01-22T16:34,11239.89
2023-01-23,3,3.8,0.9,-4.8,2023-01-23T08:02,2023-01-23T16:36,15164.22
2023-01-24,3,4.3,1.8,-5.6,2023-01-24T08:00,2023-01-24T16:38,26042.75
2023-01-25,51,8.1,5.2,-2.6,2023-01-25T07:59,2023-01-25T16:39,10001.57
2023-01-26,3,6.8,2.3,-3.2,2023-01-26T07:58,2023-01-26T16:41,25329.89
2023-01-27,3,4.7,1.4,-3.7,2023-01-27T07:56,2023-01-27T16:43,10946.43
2023-01-28,3,6.3,3.1,-3.2,2023-01-28T07:55,2023-01-28T16:45,9654.38
2023-01-29,3,7.9,3.3,-0.3,2023-01-29T07:53,2023-01-29T16:47,20067.29
2023-01-30,51,8.5,4.5,-1.1,2023-01-30T07:52,2023-01-30T16:49,26907.76
2023-01-31,3,9.3,4.7,-0.8,2023-01-31T07:50,2023-01-31T16:51,25624.78
2023-02-01,3,9.1,4.5,-1.3,2023-02-01T07:49,2023-02-01T16:52,20898.25
2023-02-02,3,10.5,5.9,1.1,2023-02-02T07:47,2023-02-02T16:54,15353.80
2023-02-03,3,11.5,8.5,3.8,2023-02-03T07:45,2023-02-03T16:56,12412.94
2023-02-04,51,9.0,6.0,1.9,2023-02-04T07:44,2023-02-04T16:58,14482.72
2023-02-05,2,5.9,3.6,-4.3,2023-02-05T07:42,2023-02-05T17:00,27093.96
2023-02-06,2,5.9,2.4,-5.6,2023-02-06T07:40,2023-02-06T17:02,29201.43
2023-02-07,3,6.9,4.6,-5.8,2023-02-07T07:39,2023-02-07T17:04,21619.98
