time,weather_code,temperature_2m_max,precipitation_hours,temperature_2m_min,sunrise,sunset,sunshine_duration
2023-01-01,63,9.2,4.4,1.7,2023-01-01T08:27,2023-01-01T15:49,15453.36
2023-01-02,51,5.1,1.7,-3.7,2023-01-02T08:26,2023-01-02T15:50,20637.14
2023-01-03,53,11.2,6.8,-3.7,2023-01-03T08:26,2023-01-03T15:51,0.00
2023-01-04,51,12.5,7.8,4.6,2023-01-04T08:26,2023-01-04T15:53,5571.64
2023-01-05,53,11.4,7.1,3.9,2023-01-05T08:25,2023-01-05T15:54,552.80
2023-01-06,53,9.7,5.2,1.6,2023-01-06T08:25,2023-01-06T15:55,18345.55
2023-01-07,55,12.0,7.2,0.5,2023-01-07T08:24,2023-01-07T15:57,5511.16
2023-01-08,55,8.1,2.3,-0.6,2023-01-08T08:24,2023-01-08T15:58,2538.17
2023-01-09,3,7.3,3.0,0.0,2023-01-09T08:23,2023-01-09T16:00,18211.61
2023-01-10,61,12.6,6.9,-1.6,2023-01-10T08:22,2023-01-10T16:01,0.00
2023-01-11,75,8.5,3.0,-0.7,2023-01-11T08:22,2023-01-11T16:03,13792.85
2023-01-12,55,10.5,5.7,-2.1,2023-01-12T08:21,2023-01-12T16:05,12317.55
2023-01-13,53,8.6,3.7,-1.4,2023-01-13T08:20,2023-01-13T16:06,22240.55
2023-01-14,61,8.7,4.8,-3.4,2023-01-14T08:19,2023-01-14T16:08,19033.34
2023-01-15,71,6.6,2.5,-4.7,2023-01-15T08:18,2023-01-15T16:10,21304.49
2023-01-16,73,1.4,-2.5,-7.6,2023-01-16T08:17,2023-01-16T16:11,12450.02
2023-01-17,3,1.6,-3.2,-8.3,2023-01-17T08:16,2023-01-17T16:13,23177.62
2023-01-18,71,4.5,-0.7,-5.6,2023-01-18T08:15,2023-01-18T16:15,23356.08
2023-01-19,71,3.0,-1.4,-6.9,2023-01-19T08:14,2023-01-19T16:17,19591.26
2023-01-20,3,5.3,1.4,-6.6,2023-01-20T08:12,2023-01-20T16:18,20873.75
2023-01-21,3,2.9,-0.9,-8.1,2023-01-21T08:11,2023-01-21T16:20,23872.95
2023-01-22,3,3.1,-1.4,-6.3,2023-01-22T08:10,2023-01-22T16:22,0.00
2023-01-23,3,5.9,2.2,-2.6,2023-01-23T08:08,2023-01-23T16:24,3600.00
2023-01-24,3,8.3,5.0,-0.7,2023-01-24T08:07,2023-01-24T16:26,5167.25
2023-01-25,51,9.2,6.1,-0.5,2023-01-25T08:05,2023-01-25T16:28,6393.51
2023-01-26,51,6.8,2.8,-0.8,2023-01-26T08:04,2023-01-26T16:30,13055.31
2023-01-27,51,6.0,3.3,-2.3,2023-01-27T08:02,2023-01-27T16:32,7290.81
2023-01-28,51,7.1,4.2,-2.5,2023-01-28T08:00,2023-01-28T16:34,7073.71
2023-01-29,51,9.6,5.1,-0.7,2023-01-29T07:59,2023-01-29T16:36,10338.74
2023-01-30,3,8.8,4.6,-0.2,2023-01-30T07:57,2023-01-30T16:38,26229.52
2023-01-31,51,9.3,4.5,-0.5,2023-01-31T07:55,2023-01-31T16:40,26143.77
2023-02-01,51,9.4,4.5,-0.4,2023-02-01T07:54,2023-02-01T16:42,20939.98
2023-02-02,51,10.9,6.5,3.6,2023-02-02T07:52,2023-02-02T16:44,3460.59
2023-02-03,3,12.0,9.2,4.2,2023-02-03T07:50,2023-02-03T16:46,8704.79
2023-02-04,3,10.1,6.1,0.5,2023-02-04T07:48,2023-02-04T16:48,18317.50
2023-02-05,3,6.7,3.2,-3.8,2023-02-05T07:46,2023-02-05T16:50,24137.08
2023-02-06,3,7.9,4.1,-5.2,2023-02-06T07:44,2023-02-06T16:52,27416.75
2023-02-07,3,8.9,5.7,-2.3,2023-02-07T07:43,2023-02-07T16:54,16444.26
2023-02-08,51,8.1,2.4,-1.6,2023-02-08T07:41,2023-02-08T16:56,27534.51
2023-02-09,3,8.7,4.1,-3.0,2023-02-09T07:39,2023-02-09T16:59,26318.84
2023-02-10,3,10.1,5.2,-0.2,2023-02-10T07:37,2023-02-10T17:01,0.00
2023-02-11,3,11.1,8.3,1.1,2023-02-11T07:35,2023-02-11T17:03,26334.51
2023-02-12,3,9.5,6.3,-1.1,2023-02-12T07:33,2023-02-12T17:05,29397.85
2023-02-13,3,8.3,4.8,-0.6,2023-02-13T07:30,2023-02-13T17:07,29971.35
2023-02-14,2,10.3,7.0,-2.5,2023-02-14T07:28,2023-02-14T17:09,30250.03
2023-02-15,3,10.8,6.2,-0.7,2023-02-15T07:26,2023-02-15T17:11,29656.16
2023-02-16,53,11.5,7.8,2.0,2023-02-16T07:24,2023-02-16T17:13,2607.95
2023-02-17,53,13.6,7.5,3.2,2023-02-17T07:22,2023-02-17T17:15,24491.50
2023-02-18,63,13.4,9.4,4.4,2023-02-18T07:19,2023-02-18T17:17,20340.89
2023-02-19,51,10.7,5.5,1.7,2023-02-19T07:17,2023-02-19T17:19,18878.79
2023-02-20,3,12.6,8.8,4.9,2023-02-20T07:15,2023-02-20T17:21,2694.27
2023-02-21,51,12.3,8.4,3.8,2023-02-21T07:13,2023-02-21T17:23,24570.05
2023-02-22,53,8.2,4.6,-0.0,2023-02-22T07:10,2023-02-22T17:25,5197.15
2023-02-23,51,7.7,3.7,-1.2,2023-02-23T07:08,2023-02-23T17:27,32118.01
2023-02-24,53,8.4,4.4,-1.7,2023-02-24T07:06,2023-02-24T17:29,25720.04
2023-02-25,51,6.1,0.6,-1.8,2023-02-25T07:03,2023-02-25T17:32,9703.49
2023-02-26,51,7.0,2.2,0.7,2023-02-26T07:01,2023-02-26T17:34,3328.55
2023-02-27,51,7.7,3.0,1.3,2023-02-27T06:59,2023-02-27T17:36,5557.06
2023-02-28,51,7.4,3.1,1.6,2023-02-28T06:56,2023-02-28T17:38,0.00
2023-03-01,53,7.3,1.9,0.6,2023-03-01T06:54,2023-03-01T17:40,7566.09
2023-03-02,51,6.8,3.8,1.6,2023-03-02T06:52,2023-03-02T17:42,4431.12
2023-03-03,51,7.5,3.2,0.9,2023-03-03T06:49,2023-03-03T17:43,6493.40
2023-03-04,3,6.8,3.4,-0.9,2023-03-04T06:47,2023-03-04T17:45,12218.29
2023-03-05,51,6.3,4.0,-2.9,2023-03-05T06:44,2023-03-05T17:47,10800.00
2023-03-06,51,7.1,2.9,-4.3,2023-03-06T06:42,2023-03-06T17:49,10644.97
