time,weather_code,temperature_2m_max,sunshine_duration,temperature_2m_min,sunrise,sunset,precipitation_hours
2023-01-01,61,8.3,4.6,2.2,2023-01-01T08:29,2023-01-01T16:01,13720.33
2023-01-02,51,6.8,3.7,-2.9,2023-01-02T08:29,2023-01-02T16:02,21341.18
2023-01-03,63,11.5,7.0,-3.9,2023-01-03T08:29,2023-01-03T16:03,0.00
2023-01-04,55,11.4,6.0,3.4,2023-01-04T08:29,2023-01-04T16:04,388.65
2023-01-05,61,11.1,7.1,3.8,2023-01-05T08:28,2023-01-05T16:05,0.00
2023-01-06,53,10.9,6.5,1.2,2023-01-06T08:28,2023-01-06T16:07,17773.71
2023-01-07,61,11.6,7.1,1.7,2023-01-07T08:27,2023-01-07T16:08,14094.31
2023-01-08,61,7.9,2.6,0.4,2023-01-08T08:27,2023-01-08T16:10,4080.40
2023-01-09,73,7.6,2.6,-0.7,2023-01-09T08:26,2023-01-09T16:11,21572.07
2023-01-10,63,11.9,7.1,-0.6,2023-01-10T08:25,2023-01-10T16:13,0.00
2023-01-11,63,8.8,4.5,-0.1,2023-01-11T08:25,2023-01-11T16:14,6087.54
2023-01-12,63,10.6,5.2,-2.6,2023-01-12T08:24,2023-01-12T16:16,10374.58
2023-01-13,55,8.4,3.2,-1.3,2023-01-13T08:23,2023-01-13T16:17,20148.79
2023-01-14,61,8.9,4.7,-3.3,2023-01-14T08:22,2023-01-14T16:19,13740.66
2023-01-15,73,7.9,3.5,-3.4,2023-01-15T08:21,2023-01-15T16:21,22055.46
2023-01-16,71,2.5,-0.9,-6.0,2023-01-16T08:20,2023-01-16T16:22,23591.24
2023-01-17,73,3.2,-0.8,-6.0,2023-01-17T08:19,2023-01-17T16:24,22221.96
2023-01-18,75,5.9,0.2,-2.9,2023-01-18T08:18,2023-01-18T16:26,21638.50
2023-01-19,71,5.2,-0.7,-2.6,2023-01-19T08:17,2023-01-19T16:27,24185.95
2023-01-20,0,5.5,2.9,-5.8,2023-01-20T08:16,2023-01-20T16:29,24375.26
2023-01-21,3,2.7,-2.0,-5.5,2023-01-21T08:15,2023-01-21T16:31,16681.24
2023-01-22,53,3.2,-0.6,-3.7,2023-01-22T08:13,2023-01-22T16:33,0.00
2023-01-23,3,6.1,3.3,-1.0,2023-01-23T08:12,2023-01-23T16:35,1458.18
2023-01-24,3,6.7,4.2,0.1,2023-01-24T08:11,2023-01-24T16:37,0.00
2023-01-25,55,8.5,4.2,0.0,2023-01-25T08:09,2023-01-25T16:38,7012.38
2023-01-26,3,6.4,3.1,-4.3,2023-01-26T08:08,2023-01-26T16:40,25455.60
2023-01-27,3,5.5,3.3,-5.2,2023-01-27T08:06,2023-01-27T16:42,21337.59
2023-01-28,51,7.3,4.4,0.9,2023-01-28T08:05,2023-01-28T16:44,3117.24
2023-01-29,51,9.3,3.3,1.1,2023-01-29T08:03,2023-01-29T16:46,117.77
2023-01-30,53,8.2,3.2,-0.1,2023-01-30T08:01,2023-01-30T16:48,25459.97
2023-01-31,53,8.9,3.2,-0.0,2023-01-31T08:00,2023-01-31T16:50,22607.05
2023-02-01,61,8.5,3.0,0.0,2023-02-01T07:58,2023-02-01T16:52,352.45
2023-02-02,51,9.9,4.2,2.6,2023-02-02T07:56,2023-02-02T16:54,7270.82
2023-02-03,51,9.7,5.5,3.3,2023-02-03T07:55,2023-02-03T16:56,0.00
2023-02-04,53,9.4,5.8,0.3,2023-02-04T07:53,2023-02-04T16:58,15828.59
2023-02-05,2,6.7,3.1,-4.8,2023-02-05T07:51,2023-02-05T17:00,25216.75
2023-02-06,3,7.1,4.0,-5.8,2023-02-06T07:49,2023-02-06T17:02,28073.70
2023-02-07,3,6.8,5.0,-3.4,2023-02-07T07:47,2023-02-07T17:04,2151.14
2023-02-08,53,7.6,3.8,-4.7,2023-02-08T07:45,2023-02-08T17:06,27449.29
2023-02-09,51,7.9,3.3,0.1,2023-02-09T07:44,2023-02-09T17:08,28860.35
2023-02-10,53,9.1,4.9,1.4,2023-02-10T07:42,2023-02-10T17:10,0.00
2023-02-11,3,9.3,5.9,2.9,2023-02-11T07:40,2023-02-11T17:12,24151.46
2023-02-12,3,9.4,6.0,-0.2,2023-02-12T07:38,2023-02-12T17:14,30066.83
2023-02-13,2,9.0,5.4,-0.6,2023-02-13T07:36,2023-02-13T17:16,29172.11
2023-02-14,51,10.7,7.6,-2.3,2023-02-14T07:33,2023-02-14T17:18,30603.77
2023-02-15,53,8.5,4.9,-1.8,2023-02-15T07:31,2023-02-15T17:20,18063.88
2023-02-16,63,10.8,6.5,2.3,2023-02-16T07:29,2023-02-16T17:22,4562.93
2023-02-17,63,10.7,6.4,4.1,2023-02-17T07:27,2023-02-17T17:24,18776.97
2023-02-18,63,10.4,5.8,3.1,2023-02-18T07:25,2023-02-18T17:26,11066.65
2023-02-19,51,9.3,5.9,1.0,2023-02-19T07:23,2023-02-19T17:28,15010.57
2023-02-20,51,10.4,5.3,3.7,2023-02-20T07:20,2023-02-20T17:30,3600.00
2023-02-21,3,11.1,8.7,3.7,2023-02-21T07:18,2023-02-21T17:32,1951.35
2023-02-22,53,8.0,3.7,0.1,2023-02-22T07:16,2023-02-22T17:34,25287.84
2023-02-23,51,7.3,3.2,-2.1,2023-02-23T07:14,2023-02-23T17:36,32629.89
2023-02-24,3,10.8,7.0,-0.2,2023-02-24T07:12,2023-02-24T17:38,27216.50
2023-02-25,51,6.9,1.9,-2.8,2023-02-25T07:09,2023-02-25T17:40,28649.78
2023-02-26,51,7.5,4.1,-4.2,2023-02-26T07:07,2023-02-26T17:42,14986.71
2023-02-27,51,8.2,4.9,-1.1,2023-02-27T07:05,2023-02-27T17:44,14400.00
2023-02-28,51,7.4,3.6,1.2,2023-02-28T07:03,2023-02-28T17:46,4993.80
2023-03-01,51,8.7,3.8,0.9,2023-03-01T07:00,2023-03-01T17:48,5231.75
2023-03-02,51,7.0,4.0,1.3,2023-03-02T06:58,2023-03-02T17:50,7986.43
2023-03-03,51,6.9,4.0,-2.5,2023-03-03T06:56,2023-03-03T17:52,16350.10
2023-03-04,3,6.1,2.7,-1.3,2023-03-04T06:53,2023-03-04T17:54,25115.42
2023-03-05,51,6.5,3.0,-4.5,2023-03-05T06:51,2023-03-05T17:56,24089.20
2023-03-06,53,7.0,3.0,-0.5,2023-03-06T06:48,2023-03-06T17:58,15896.31
2023-03-07,51,4.2,-0.5,-6.9,2023-03-07T06:46,2023-03-07T17:59,36258.76
2023-03-08,71,4.1,-1.6,-6.8,2023-03-08T06:44,2023-03-08T18:01,10846.97
2023-03-09,73,3.0,-2.4,-5.7,2023-03-09T06:41,2023-03-09T18:03,0.00
2023-03-10,73,5.2,0.7,-4.3,2023-03-10T06:39,2023-03-10T18:05,34285.36
2023-03-11,71,5.6,0.5,-5.2,2023-03-11T06:36,2023-03-11T18:07,5028.78
2023-03-12,63,11.2,7.1,-0.7,2023-03-12T06:34,2023-03-12T18:09,17079.88
2023-03-13,61,11.5,6.9,0.7,2023-03-13T06:31,2023-03-13T18:11,6380.71
2023-03-14,75,5.8,1.4,-5.8,2023-03-14T06:29,2023-03-14T18:13,33629.46
2023-03-15,53,6.6,2.0,-6.7,2023-03-15T06:27,2023-03-15T18:15,7957.52
2023-03-16,55,12.1,8.1,1.6,2023-03-16T06:24,2023-03-16T18:17,200.50
2023-03-17,55,14.1,11.0,4.2,2023-03-17T06:22,2023-03-17T18:18,38698.73
2023-03-18,53,11.5,9.9,1.4,2023-03-18T06:19,2023-03-18T18:20,25053.84
2023-03-19,53,9.0,5.1,1.5,2023-03-19T06:17,2023-03-19T18:22,14641.59
2023-03-20,61,13.1,11.6,2.9,2023-03-20T06:14,2023-03-20T18:24,1967.05
2023-03-21,55,11.6,7.3,4.2,2023-03-21T06:12,2023-03-21T18:26,9414.43
2023-03-22,61,11.5,6.7,2.4,2023-03-22T06:10,2023-03-22T18:28,36463.40
2023-03-23,63,12.3,8.0,1.3,2023-03-23T06:07,2023-03-23T18:30,24443.85
2023-03-24,61,11.8,5.5,0.9,2023-03-24T06:05,2023-03-24T18:31,35885.94
2023-03-25,61,9.9,6.1,0.3,2023-03-25T06:02,2023-03-25T18:33,39425.32
2023-03-26,51,8.9,4.9,-0.5,2023-03-26T06:00,2023-03-26T18:35,22224.36
2023-03-27,51,8.3,5.4,-1.8,2023-03-27T05:57,2023-03-27T18:37,36527.49
2023-03-28,61,9.8,6.9,0.4,2023-03-28T05:55,2023-03-28T18:39,0.00
2023-03-29,61,13.5,10.2,6.5,2023-03-29T05:52,2023-03-29T18:41,4943.32
2023-03-30,63,12.8,9.6,5.1,2023-03-30T05:50,2023-03-30T18:43,39084.71
2023-03-31,53,13.5,11.1,5.8,2023-03-31T05:47,2023-03-31T18:44,12378.70
2023-04-01,51,9.8,6.0,3.2,2023-04-01T05:45,2023-04-01T18:46,18000.00
