time,weather_code,temperature_2m_max,sunshine_duration,temperature_2m_min,sunrise,sunset,precipitation_hours
2023-01-01,55,10.8,6.9,4.1,2023-01-01T08:10,2023-01-01T16:06,7986.55
2023-01-02,51,7.3,4.2,-1.1,2023-01-02T08:10,2023-01-02T16:07,23106.23
2023-01-03,61,12.1,7.9,-0.2,2023-01-03T08:09,2023-01-03T16:08,0.00
2023-01-04,51,12.3,8.1,5.2,2023-01-04T08:09,2023-01-04T16:10,11944.07
2023-01-05,51,12.4,9.3,5.7,2023-01-05T08:09,2023-01-05T16:11,7279.21
2023-01-06,61,11.3,7.2,2.0,2023-01-06T08:08,2023-01-06T16:12,15349.30
2023-01-07,55,10.9,6.0,1.3,2023-01-07T08:08,2023-01-07T16:13,1406.39
2023-01-08,73,7.8,3.2,0.0,2023-01-08T08:08,2023-01-08T16:15,6260.90
2023-01-09,51,7.6,2.8,-1.0,2023-01-09T08:07,2023-01-09T16:16,23882.94
2023-01-10,61,12.2,7.7,0.0,2023-01-10T08:07,2023-01-10T16:17,0.00
2023-01-11,63,9.2,4.8,1.5,2023-01-11T08:06,2023-01-11T16:19,14745.88
2023-01-12,61,11.6,7.7,0.6,2023-01-12T08:05,2023-01-12T16:20,0.00
2023-01-13,3,9.3,3.3,-0.3,2023-01-13T08:05,2023-01-13T16:22,24617.91
2023-01-14,63,11.5,7.1,-1.2,2023-01-14T08:04,2023-01-14T16:23,776.16
2023-01-15,3,6.7,1.8,-3.1,2023-01-15T08:03,2023-01-15T16:25,24959.81
2023-01-16,73,4.4,-0.3,-8.2,2023-01-16T08:02,2023-01-16T16:26,13588.37
2023-01-17,3,1.6,-2.0,-8.6,2023-01-17T08:01,2023-01-17T16:28,21293.73
2023-01-18,3,4.3,-0.6,-6.3,2023-01-18T08:00,2023-01-18T16:29,25158.61
2023-01-19,2,4.2,0.9,-5.2,2023-01-19T07:59,2023-01-19T16:31,24858.90
2023-01-20,0,5.3,1.3,-4.8,2023-01-20T07:58,2023-01-20T16:32,26071.53
2023-01-21,3,4.3,0.9,-5.5,2023-01-21T07:57,2023-01-21T16:34,24958.35
2023-01-22,3,2.5,-0.3,-8.1,2023-01-22T07:56,2023-01-22T16:36,13780.09
2023-01-23,3,3.0,-0.1,-7.8,2023-01-23T07:55,2023-01-23T16:38,22976.27
2023-01-24,3,4.1,1.2,-6.9,2023-01-24T07:54,2023-01-24T16:39,26402.18
2023-01-25,51,5.1,1.5,-6.1,2023-01-25T07:53,2023-01-25T16:41,0.00
2023-01-26,51,6.6,2.0,-3.5,2023-01-26T07:51,2023-01-26T16:43,19448.02
2023-01-27,3,6.4,2.2,-3.7,2023-01-27T07:50,2023-01-27T16:45,18841.90
2023-01-28,3,6.1,2.6,-4.3,2023-01-28T07:48,2023-01-28T16:46,24320.02
2023-01-29,3,8.4,4.6,-2.4,2023-01-29T07:47,2023-01-29T16:48,1503.20
2023-01-30,3,8.2,4.8,-1.2,2023-01-30T07:46,2023-01-30T16:50,27560.40
