time,weather_code,temperature_2m_max,sunshine_duration,temperature_2m_min,sunrise,sunset,precipitation_hours
2023-01-01,61,12.2,9.4,6.1,2023-01-01T08:00,2023-01-01T15:57,847.39
2023-01-02,53,9.2,7.4,-1.3,2023-01-02T08:00,2023-01-02T15:58,19908.34
2023-01-03,61,11.8,7.3,-0.2,2023-01-03T07:59,2023-01-03T16:00,6058.56
2023-01-04,53,13.3,9.1,6.0,2023-01-04T07:59,2023-01-04T16:01,15852.04
2023-01-05,3,12.7,9.4,5.4,2023-01-05T07:59,2023-01-05T16:02,9406.80
2023-01-06,53,11.9,8.3,3.5,2023-01-06T07:58,2023-01-06T16:03,15912.18
2023-01-07,51,11.7,7.7,3.4,2023-01-07T07:58,2023-01-07T16:04,0.00
2023-01-08,53,10.0,5.3,0.9,2023-01-08T07:58,2023-01-08T16:06,18493.56
2023-01-09,63,7.9,4.0,-0.8,2023-01-09T07:57,2023-01-09T16:07,24337.69
2023-01-10,61,12.1,7.8,-1.0,2023-01-10T07:57,2023-01-10T16:09,0.00
2023-01-11,51,11.9,8.7,2.6,2023-01-11T07:56,2023-01-11T16:10,22234.20
2023-01-12,53,12.2,7.7,2.3,2023-01-12T07:55,2023-01-12T16:11,0.00
2023-01-13,2,10.0,5.0,0.6,2023-01-13T07:55,2023-01-13T16:13,24952.08
2023-01-14,61,11.7,8.1,0.8,2023-01-14T07:54,2023-01-14T16:14,590.90
2023-01-15,2,8.0,3.7,-2.4,2023-01-15T07:53,2023-01-15T16:16,25301.80
2023-01-16,75,5.3,1.3,-6.5,2023-01-16T07:52,2023-01-16T16:17,9451.40
2023-01-17,3,2.8,-0.7,-9.3,2023-01-17T07:51,2023-01-17T16:19,20336.33
2023-01-18,3,3.7,-0.1,-7.2,2023-01-18T07:51,2023-01-18T16:20,25803.30
2023-01-19,1,4.5,1.4,-6.2,2023-01-19T07:50,2023-01-19T16:22,25980.03
2023-01-20,51,5.5,0.7,-4.8,2023-01-20T07:49,2023-01-20T16:24,26162.36
2023-01-21,2,6.1,2.6,-5.2,2023-01-21T07:47,2023-01-21T16:25,26349.89
2023-01-22,3,3.7,0.8,-4.3,2023-01-22T07:46,2023-01-22T16:27,26174.51
2023-01-23,51,5.2,2.9,-4.2,2023-01-23T07:45,2023-01-23T16:29,0.00
2023-01-24,3,5.7,2.3,0.2,2023-01-24T07:44,2023-01-24T16:30,439.32
2023-01-25,61,5.9,2.5,-1.2,2023-01-25T07:43,2023-01-25T16:32,17041.27
2023-01-26,51,7.3,3.4,0.1,2023-01-26T07:41,2023-01-26T16:34,14988.87
2023-01-27,53,7.2,2.6,-0.2,2023-01-27T07:40,2023-01-27T16:36,27563.54
2023-01-28,3,5.7,2.5,-1.8,2023-01-28T07:39,2023-01-28T16:37,25916.03
2023-01-29,3,7.7,4.1,-2.4,2023-01-29T07:37,2023-01-29T16:39,22454.86
2023-01-30,3,8.6,4.5,-1.1,2023-01-30T07:36,2023-01-30T16:41,27983.53
2023-01-31,51,11.0,7.5,-1.8,2023-01-31T07:34,2023-01-31T16:43,21620.93
2023-02-01,3,9.6,4.9,-0.8,2023-02-01T07:33,2023-02-01T16:44,23060.11
2023-02-02,3,11.0,7.2,0.7,2023-02-02T07:31,2023-02-02T16:46,24679.17
2023-02-03,3,12.6,10.3,3.6,2023-02-03T07:30,2023-02-03T16:48,28441.31
2023-02-04,51,10.2,7.9,4.4,2023-02-04T07:28,2023-02-04T16:50,6557.63
2023-02-05,51,8.2,5.0,-2.1,2023-02-05T07:27,2023-02-05T16:52,28644.66
2023-02-06,3,8.2,6.0,-2.3,2023-02-06T07:25,2023-02-06T16:53,29321.49
2023-02-07,3,7.1,4.7,-5.7,2023-02-07T07:23,2023-02-07T16:55,29556.82
2023-02-08,3,7.1,3.8,-6.9,2023-02-08T07:22,2023-02-08T16:57,30112.04
2023-02-09,3,8.5,6.3,-4.7,2023-02-09T07:20,2023-02-09T16:59,20988.32
2023-02-10,2,8.7,4.8,-3.9,2023-02-10T07:18,2023-02-10T17:01,30393.45
2023-02-11,3,10.6,8.7,1.2,2023-02-11T07:16,2023-02-11T17:02,8495.72
2023-02-12,51,9.2,6.7,2.4,2023-02-12T07:14,2023-02-12T17:04,18369.76
2023-02-13,3,10.8,8.6,-1.8,2023-02-13T07:13,2023-02-13T17:06,30826.31
2023-02-14,0,13.2,11.3,0.6,2023-02-14T07:11,2023-02-14T17:08,31337.68
2023-02-15,53,11.5,7.9,1.0,2023-02-15T07:09,2023-02-15T17:10,26184.76
2023-02-16,55,11.4,8.5,4.9,2023-02-16T07:07,2023-02-16T17:12,2086.11
2023-02-17,3,13.0,9.7,5.9,2023-02-17T07:05,2023-02-17T17:13,4608.49
2023-02-18,51,12.4,8.9,5.1,2023-02-18T07:03,2023-02-18T17:15,0.00
2023-02-19,3,11.6,8.9,2.8,2023-02-19T07:01,2023-02-19T17:17,30071.80
2023-02-20,3,11.5,8.2,1.7,2023-02-20T06:59,2023-02-20T17:19,14765.84
2023-02-21,3,10.5,7.9,1.4,2023-02-21T06:57,2023-02-21T17:21,19587.04
2023-02-22,53,9.9,7.5,1.5,2023-02-22T06:55,2023-02-22T17:22,16021.80
2023-02-23,51,8.0,4.3,-2.9,2023-02-23T06:53,2023-02-23T17:24,328.49
2023-02-24,51,8.7,5.1,-3.9,2023-02-24T06:51,2023-02-24T17:26,20011.08
2023-02-25,51,6.7,1.1,-0.9,2023-02-25T06:49,2023-02-25T17:28,32900.34
2023-02-26,71,5.8,0.7,-1.5,2023-02-26T06:47,2023-02-26T17:29,29828.12
2023-02-27,51,6.6,2.0,-0.7,2023-02-27T06:45,2023-02-27T17:31,23405.86
2023-02-28,53,6.1,1.5,-3.7,2023-02-28T06:43,2023-02-28T17:33,483.04
2023-03-01,51,6.9,2.3,-3.6,2023-03-01T06:40,2023-03-01T17:35,26241.84
2023-03-02,2,7.2,2.5,-3.5,2023-03-02T06:38,2023-03-02T17:36,35288.38
