time,weather_code,temperature_2m_max,precipitation_hours,temperature_2m_min,sunrise,sunset,sunshine_duration
2023-01-01,61,10.1,6.6,2.4,2023-01-01T08:21,2023-01-01T16:16,1619.39
2023-01-02,53,7.7,5.2,-1.4,2023-01-02T08:21,2023-01-02T16:17,23348.91
2023-01-03,63,12.0,7.4,1.5,2023-01-03T08:21,2023-01-03T16:18,0.00
2023-01-04,61,12.0,7.5,5.8,2023-01-04T08:21,2023-01-04T16:19,4290.28
2023-01-05,63,11.3,8.4,5.0,2023-01-05T08:21,2023-01-05T16:20,3062.91
2023-01-06,61,11.5,7.4,4.6,2023-01-06T08:20,2023-01-06T16:22,4238.14
2023-01-07,63,11.2,7.1,1.1,2023-01-07T08:20,2023-01-07T16:23,7169.22
2023-01-08,61,8.1,4.4,1.1,2023-01-08T08:19,2023-01-08T16:24,1780.84
2023-01-09,51,7.8,2.5,0.8,2023-01-09T08:19,2023-01-09T16:26,24151.46
2023-01-10,63,12.0,7.1,3.3,2023-01-10T08:18,2023-01-10T16:27,0.00
2023-01-11,63,10.6,4.6,2.0,2023-01-11T08:18,2023-01-11T16:28,2522.17
2023-01-12,63,11.2,7.2,1.7,2023-01-12T08:17,2023-01-12T16:30,9055.68
2023-01-13,55,9.4,5.0,0.1,2023-01-13T08:16,2023-01-13T16:31,24530.79
2023-01-14,63,11.4,7.4,-0.7,2023-01-14T08:16,2023-01-14T16:33,7200.00
2023-01-15,51,7.4,2.8,-0.7,2023-01-15T08:15,2023-01-15T16:34,23868.91
2023-01-16,51,5.2,0.9,-6.4,2023-01-16T08:14,2023-01-16T16:36,24983.76
2023-01-17,3,3.9,-0.4,-6.1,2023-01-17T08:13,2023-01-17T16:38,21807.21
2023-01-18,71,5.0,0.0,-4.1,2023-01-18T08:12,2023-01-18T16:39,22535.25
2023-01-19,3,5.2,1.8,-5.5,2023-01-19T08:11,2023-01-19T16:41,25204.46
2023-01-20,1,6.1,3.9,-6.1,2023-01-20T08:10,2023-01-20T16:42,25422.71
2023-01-21,3,3.9,-0.5,-4.3,2023-01-21T08:09,2023-01-21T16:44,4707.80
2023-01-22,3,5.9,2.5,-2.1,2023-01-22T08:08,2023-01-22T16:46,929.17
2023-01-23,3,6.5,4.2,-2.2,2023-01-23T08:07,2023-01-23T16:47,9576.45
2023-01-24,3,4.6,1.9,-5.0,2023-01-24T08:05,2023-01-24T16:49,25658.98
2023-01-25,51,8.5,5.9,0.3,2023-01-25T08:04,2023-01-25T16:51,0.00
2023-01-26,1,8.1,4.6,-2.9,2023-01-26T08:03,2023-01-26T16:53,26604.39
2023-01-27,3,6.1,2.8,-3.2,2023-01-27T08:01,2023-01-27T16:54,11547.93
2023-01-28,3,6.6,4.7,-4.4,2023-01-28T08:00,2023-01-28T16:56,5585.23
2023-01-29,51,9.0,6.1,2.3,2023-01-29T07:58,2023-01-29T16:58,9473.62
2023-01-30,3,9.4,5.8,0.0,2023-01-30T07:57,2023-01-30T17:00,17955.06
2023-01-31,51,9.9,6.4,1.6,2023-01-31T07:55,2023-01-31T17:02,26199.37
2023-02-01,3,10.1,4.9,1.6,2023-02-01T07:54,2023-02-01T17:03,24789.49
2023-02-02,51,10.2,6.1,3.8,2023-02-02T07:52,2023-02-02T17:05,9534.72
2023-02-03,51,10.3,6.9,5.8,2023-02-03T07:51,2023-02-03T17:07,6129.27
2023-02-04,51,9.3,7.1,5.1,2023-02-04T07:49,2023-02-04T17:09,0.00
2023-02-05,1,7.6,5.0,-2.6,2023-02-05T07:48,2023-02-05T17:11,27816.35
2023-02-06,2,7.8,5.2,-3.3,2023-02-06T07:46,2023-02-06T17:13,27364.81
2023-02-07,3,7.3,5.3,-5.1,2023-02-07T07:44,2023-02-07T17:14,21491.98
2023-02-08,3,7.1,3.8,-4.2,2023-02-08T07:43,2023-02-08T17:16,27629.79
2023-02-09,3,8.2,5.7,-3.4,2023-02-09T07:41,2023-02-09T17:18,30312.61
2023-02-10,51,9.1,6.7,-3.4,2023-02-10T07:39,2023-02-10T17:20,834.43
2023-02-11,3,10.3,8.6,0.6,2023-02-11T07:37,2023-02-11T17:22,12422.12
2023-02-12,3,9.2,4.9,1.2,2023-02-12T07:35,2023-02-12T17:24,31032.06
2023-02-13,3,10.0,6.1,0.8,2023-02-13T07:33,2023-02-13T17:25,28859.68
2023-02-14,1,12.3,9.1,0.7,2023-02-14T07:32,2023-02-14T17:27,30734.22
2023-02-15,55,10.3,8.2,1.2,2023-02-15T07:30,2023-02-15T17:29,20627.73
2023-02-16,61,10.8,8.4,4.1,2023-02-16T07:28,2023-02-16T17:31,0.00
2023-02-17,53,11.8,8.3,5.0,2023-02-17T07:26,2023-02-17T17:33,3385.40
2023-02-18,53,11.1,7.5,4.7,2023-02-18T07:24,2023-02-18T17:35,3600.00
2023-02-19,51,10.4,7.4,2.5,2023-02-19T07:22,2023-02-19T17:36,19579.70
2023-02-20,51,10.5,7.6,5.2,2023-02-20T07:20,2023-02-20T17:38,0.00
2023-02-21,51,8.9,6.4,4.3,2023-02-21T07:18,2023-02-21T17:40,10819.91
2023-02-22,55,7.8,5.1,0.3,2023-02-22T07:15,2023-02-22T17:42,19640.43
2023-02-23,51,9.1,4.3,-4.9,2023-02-23T07:13,2023-02-23T17:44,32699.88
2023-02-24,51,10.3,7.3,-4.1,2023-02-24T07:11,2023-02-24T17:46,6773.35
2023-02-25,51,7.1,2.1,-2.9,2023-02-25T07:09,2023-02-25T17:47,20962.82
2023-02-26,51,7.9,3.3,-2.7,2023-02-26T07:07,2023-02-26T17:49,24519.05
2023-02-27,51,8.0,4.1,-3.7,2023-02-27T07:05,2023-02-27T17:51,9722.87
2023-02-28,51,8.1,4.0,-2.6,2023-02-28T07:03,2023-02-28T17:53,9919.80
2023-03-01,51,8.2,3.8,1.8,2023-03-01T07:01,2023-03-01T17:54,2213.65
2023-03-02,3,8.4,4.9,-2.9,2023-03-02T06:59,2023-03-02T17:56,29036.39
2023-03-03,3,7.3,4.1,-4.0,2023-03-03T06:57,2023-03-03T17:58,22964.65
2023-03-04,3,7.1,4.2,-0.6,2023-03-04T06:54,2023-03-04T18:00,19776.40
2023-03-05,51,6.0,2.1,-2.8,2023-03-05T06:52,2023-03-05T18:01,0.00
2023-03-06,51,8.3,4.2,-3.7,2023-03-06T06:50,2023-03-06T18:03,5057.04
2023-03-07,53,6.5,3.2,-2.4,2023-03-07T06:48,2023-03-07T18:05,21528.70
2023-03-08,75,2.8,-2.3,-4.1,2023-03-08T06:45,2023-03-08T18:07,0.00
2023-03-09,63,10.3,7.6,-3.2,2023-03-09T06:43,2023-03-09T18:08,5124.95
2023-03-10,53,6.7,4.0,-2.9,2023-03-10T06:41,2023-03-10T18:10,32795.03
2023-03-11,73,9.5,6.0,-2.9,2023-03-11T06:39,2023-03-11T18:12,0.00
2023-03-12,63,10.9,7.3,4.5,2023-03-12T06:36,2023-03-12T18:14,0.00
2023-03-13,61,11.1,5.5,1.2,2023-03-13T06:34,2023-03-13T18:15,18284.73
2023-03-14,51,9.0,4.4,-2.0,2023-03-14T06:32,2023-03-14T18:17,38284.57
2023-03-15,61,9.8,6.3,-3.2,2023-03-15T06:29,2023-03-15T18:19,0.00
2023-03-16,61,10.3,7.6,5.6,2023-03-16T06:27,2023-03-16T18:21,0.00
2023-03-17,61,13.6,10.4,6.3,2023-03-17T06:25,2023-03-17T18:22,25200.00
2023-03-18,51,11.8,9.7,3.3,2023-03-18T06:23,2023-03-18T18:24,19058.49
2023-03-19,53,9.2,6.4,0.6,2023-03-19T06:20,2023-03-19T18:26,29539.40
2023-03-20,63,10.5,8.1,5.3,2023-03-20T06:18,2023-03-20T18:27,0.00
2023-03-21,63,11.1,6.9,4.7,2023-03-21T06:16,2023-03-21T18:29,26554.03
2023-03-22,63,12.1,6.9,2.7,2023-03-22T06:14,2023-03-22T18:31,28305.70
2023-03-23,61,11.9,7.1,3.4,2023-03-23T06:11,2023-03-23T18:32,25200.00
2023-03-24,61,10.7,5.6,2.1,2023-03-24T06:09,2023-03-24T18:34,38340.64
2023-03-25,53,11.5,7.2,2.2,2023-03-25T06:07,2023-03-25T18:36,39602.49
2023-03-26,63,11.3,8.3,2.1,2023-03-26T06:04,2023-03-26T18:38,22929.18
2023-03-27,3,9.8,7.1,2.5,2023-03-27T06:02,2023-03-27T18:39,40024.99
2023-03-28,61,10.4,8.0,3.7,2023-03-28T06:00,2023-03-28T18:41,0.00
2023-03-29,61,12.3,9.8,5.8,2023-03-29T05:58,2023-03-29T18:43,0.00
2023-03-30,61,11.9,8.2,5.0,2023-03-30T05:55,2023-03-30T18:44,31098.80
2023-03-31,61,11.5,7.7,5.5,2023-03-31T05:53,2023-03-31T18:46,0.00
2023-04-01,61,13.5,10.7,2.9,2023-04-01T05:51,2023-04-01T18:48,21940.13
2023-04-02,51,12.0,10.2,0.9,2023-04-02T05:48,2023-04-02T18:49,24281.56
2023-04-03,2,11.3,7.6,-1.4,2023-04-03T05:46,2023-04-03T18:51,42731.98
2023-04-04,3,11.8,9.5,-1.5,2023-04-04T05:44,2023-04-04T18:53,42684.59
2023-04-05,61,10.0,7.7,4.4,2023-04-05T05:42,2023-04-05T18:54,0.00
2023-04-06,53,11.9,8.2,-0.3,2023-04-06T05:39,2023-04-06T18:56,41674.62
2023-04-07,1,12.3,10.0,-1.1,2023-04-07T05:37,2023-04-07T18:58,42471.93
2023-04-08,3,13.3,9.0,2.1,2023-04-08T05:35,2023-04-08T18:59,34627.45
2023-04-09,55,13.9,9.7,1.7,2023-04-09T05:33,2023-04-09T19:01,25645.60
2023-04-10,63,12.1,7.2,3.4,2023-04-10T05:31,2023-04-10T19:03,32062.90
2023-04-11,63,9.9,5.8,0.2,2023-04-11T05:28,2023-04-11T19:04,2699.01
2023-04-12,73,9.6,3.1,-3.0,2023-04-12T05:26,2023-04-12T19:06,19420.48
2023-04-13,53,11.0,6.9,0.9,2023-04-13T05:24,2023-04-13T19:08,43200.00
2023-04-14,61,8.8,6.7,1.2,2023-04-14T05:22,2023-04-14T19:10,5840.62
