time,weather_code,temperature_2m_max,precipitation_hours,temperature_2m_min,sunrise,sunset,sunshine_duration
2023-01-01,75,3.5,0.6,-4.4,2023-01-01T08:46,2023-01-01T15:50,0.00
2023-01-02,3,3.6,-0.2,-6.0,2023-01-02T08:45,2023-01-02T15:51,16142.00
2023-01-03,61,10.1,7.1,-2.2,2023-01-03T08:45,2023-01-03T15:53,0.00
2023-01-04,61,11.6,7.4,1.8,2023-01-04T08:45,2023-01-04T15:54,2246.09
2023-01-05,63,10.5,6.6,1.9,2023-01-05T08:44,2023-01-05T15:55,0.00
2023-01-06,61,8.7,5.0,-0.3,2023-01-06T08:44,2023-01-06T15:57,10697.02
2023-01-07,61,9.7,6.9,1.5,2023-01-07T08:43,2023-01-07T15:58,10800.00
2023-01-08,73,7.7,2.2,-0.7,2023-01-08T08:42,2023-01-08T16:00,19921.35
2023-01-09,51,6.2,1.7,-0.5,2023-01-09T08:42,2023-01-09T16:02,12689.09
2023-01-10,61,11.5,7.3,0.3,2023-01-10T08:41,2023-01-10T16:03,0.00
2023-01-11,73,6.4,0.9,-0.8,2023-01-11T08:40,2023-01-11T16:05,13039.38
2023-01-12,73,7.6,2.6,-0.7,2023-01-12T08:39,2023-01-12T16:07,8530.98
2023-01-13,51,7.2,3.3,0.4,2023-01-13T08:38,2023-01-13T16:08,20714.56
2023-01-14,63,6.9,3.8,-3.5,2023-01-14T08:37,2023-01-14T16:10,15927.88
2023-01-15,73,5.3,1.3,-2.3,2023-01-15T08:36,2023-01-15T16:12,12959.88
2023-01-16,73,1.4,-1.7,-6.8,2023-01-16T08:35,2023-01-16T16:14,21664.17
2023-01-17,3,1.6,-3.2,-6.6,2023-01-17T08:34,2023-01-17T16:16,19030.56
2023-01-18,3,3.5,-0.9,-5.8,2023-01-18T08:32,2023-01-18T16:18,9804.66
2023-01-19,3,4.6,-0.2,-5.8,2023-01-19T08:31,2023-01-19T16:19,17053.83
2023-01-20,1,3.6,1.5,-6.7,2023-01-20T08:30,2023-01-20T16:21,22590.97
2023-01-21,51,3.7,-0.8,-4.4,2023-01-21T08:28,2023-01-21T16:23,0.00
2023-01-22,51,7.9,4.4,-0.9,2023-01-22T08:27,2023-01-22T16:25,0.00
2023-01-23,51,9.2,6.8,3.3,2023-01-23T08:25,2023-01-23T16:27,0.00
2023-01-24,51,9.4,6.6,5.5,2023-01-24T08:24,2023-01-24T16:29,0.00
2023-01-25,51,9.2,5.7,0.1,2023-01-25T08:22,2023-01-25T16:32,21733.28
2023-01-26,1,7.1,4.2,-2.5,2023-01-26T08:20,2023-01-26T16:34,24145.81
2023-01-27,3,5.5,1.5,-5.5,2023-01-27T08:19,2023-01-27T16:36,1992.94
2023-01-28,51,6.7,3.7,0.6,2023-01-28T08:17,2023-01-28T16:38,24693.61
2023-01-29,53,9.3,3.9,-1.2,2023-01-29T08:15,2023-01-29T16:40,637.56
2023-01-30,51,8.0,3.4,-0.9,2023-01-30T08:13,2023-01-30T16:42,23674.41
2023-01-31,71,8.7,4.0,-1.9,2023-01-31T08:11,2023-01-31T16:44,25200.00
2023-02-01,75,8.0,3.8,-1.2,2023-02-01T08:10,2023-02-01T16:47,25248.73
2023-02-02,55,10.5,5.8,3.7,2023-02-02T08:08,2023-02-02T16:49,0.00
2023-02-03,51,10.5,7.0,2.3,2023-02-03T08:06,2023-02-03T16:51,0.00
2023-02-04,61,9.7,5.9,-1.6,2023-02-04T08:04,2023-02-04T16:53,8670.20
2023-02-05,3,6.4,3.0,-2.4,2023-02-05T08:02,2023-02-05T16:55,15840.68
2023-02-06,3,8.5,4.7,0.1,2023-02-06T08:00,2023-02-06T16:58,14469.11
2023-02-07,51,8.7,5.9,2.5,2023-02-07T07:58,2023-02-07T17:00,0.00
2023-02-08,61,8.9,3.3,-1.6,2023-02-08T07:56,2023-02-08T17:02,15453.94
2023-02-09,3,8.1,2.5,-1.4,2023-02-09T07:54,2023-02-09T17:04,26422.53
2023-02-10,51,10.1,5.5,0.3,2023-02-10T07:51,2023-02-10T17:06,0.00
2023-02-11,51,10.1,6.2,4.6,2023-02-11T07:49,2023-02-11T17:08,5386.87
2023-02-12,3,9.6,5.7,-0.2,2023-02-12T07:47,2023-02-12T17:11,15267.45
2023-02-13,3,7.9,5.5,-3.4,2023-02-13T07:45,2023-02-13T17:13,29142.78
2023-02-14,3,9.8,7.4,-4.4,2023-02-14T07:42,2023-02-14T17:15,23029.43
2023-02-15,61,8.6,4.1,1.3,2023-02-15T07:40,2023-02-15T17:17,15655.32
2023-02-16,53,10.9,6.4,3.0,2023-02-16T07:38,2023-02-16T17:19,173.85
2023-02-17,63,11.3,7.1,1.0,2023-02-17T07:35,2023-02-17T17:22,27839.79
2023-02-18,63,6.4,3.8,0.7,2023-02-18T07:33,2023-02-18T17:24,0.00
2023-02-19,51,9.9,4.9,-0.8,2023-02-19T07:31,2023-02-19T17:26,0.00
2023-02-20,51,10.5,7.3,4.7,2023-02-20T07:28,2023-02-20T17:28,0.00
2023-02-21,51,10.9,7.2,5.6,2023-02-21T07:26,2023-02-21T17:30,445.47
2023-02-22,51,8.9,5.5,-1.6,2023-02-22T07:24,2023-02-22T17:33,24934.88
2023-02-23,3,7.7,3.5,-3.9,2023-02-23T07:21,2023-02-23T17:35,18329.78
2023-02-24,3,9.8,5.8,-1.7,2023-02-24T07:19,2023-02-24T17:37,27634.01
2023-02-25,3,5.9,1.8,-4.0,2023-02-25T07:16,2023-02-25T17:39,16635.41
2023-02-26,3,6.9,4.1,-3.4,2023-02-26T07:14,2023-02-26T17:41,29166.55
2023-02-27,3,5.9,3.3,-5.9,2023-02-27T07:11,2023-02-27T17:43,23055.24
2023-02-28,51,7.2,3.7,-0.1,2023-02-28T07:09,2023-02-28T17:45,9296.76
2023-03-01,51,7.2,3.2,0.3,2023-03-01T07:06,2023-03-01T17:48,784.09
2023-03-02,51,7.0,3.6,-0.4,2023-03-02T07:04,2023-03-02T17:50,7336.85
2023-03-03,51,6.3,3.8,-3.7,2023-03-03T07:01,2023-03-03T17:52,6247.16
2023-03-04,3,7.1,4.9,-5.1,2023-03-04T06:59,2023-03-04T17:54,25339.94
2023-03-05,51,7.5,5.3,-2.2,2023-03-05T06:56,2023-03-05T17:56,14176.93
2023-03-06,53,6.0,1.2,-5.0,2023-03-06T06:54,2023-03-06T17:58,26570.70
2023-03-07,2,3.8,-0.7,-7.7,2023-03-07T06:51,2023-03-07T18:00,35761.05
2023-03-08,71,3.7,-1.0,-9.3,2023-03-08T06:49,2023-03-08T18:02,36055.09
2023-03-09,73,3.6,-2.2,-8.7,2023-03-09T06:46,2023-03-09T18:04,15604.41
2023-03-10,3,5.5,0.7,-5.8,2023-03-10T06:43,2023-03-10T18:07,36641.68
2023-03-11,73,5.3,1.7,-6.6,2023-03-11T06:41,2023-03-11T18:09,23628.18
2023-03-12,75,10.2,6.6,-3.0,2023-03-12T06:38,2023-03-12T18:11,17326.01
2023-03-13,73,10.2,7.4,-2.1,2023-03-13T06:35,2023-03-13T18:13,304.38
2023-03-14,73,4.7,1.0,-5.6,2023-03-14T06:33,2023-03-14T18:15,34204.13
2023-03-15,55,5.8,1.8,-6.4,2023-03-15T06:30,2023-03-15T18:17,17574.68
2023-03-16,61,11.9,9.1,-0.9,2023-03-16T06:28,2023-03-16T18:19,0.00
2023-03-17,61,13.2,11.2,2.8,2023-03-17T06:25,2023-03-17T18:21,18989.52
2023-03-18,61,11.9,10.2,2.0,2023-03-18T06:22,2023-03-18T18:23,0.00
2023-03-19,55,9.4,6.2,2.5,2023-03-19T06:20,2023-03-19T18:25,17481.81
2023-03-20,53,9.9,8.1,3.0,2023-03-20T06:17,2023-03-20T18:27,0.00
2023-03-21,61,12.7,10.1,5.1,2023-03-21T06:15,2023-03-21T18:29,30923.29
2023-03-22,61,10.3,5.5,-0.2,2023-03-22T06:12,2023-03-22T18:31,39463.49
2023-03-23,53,11.9,7.8,0.7,2023-03-23T06:09,2023-03-23T18:33,32908.59
2023-03-24,53,10.3,7.0,1.7,2023-03-24T06:07,2023-03-24T18:35,20629.41
2023-03-25,61,8.3,5.8,1.1,2023-03-25T06:04,2023-03-25T18:37,3890.85
2023-03-26,53,7.8,3.5,-1.9,2023-03-26T06:01,2023-03-26T18:39,33914.80
2023-03-27,2,7.7,4.2,-7.2,2023-03-27T05:59,2023-03-27T18:42,41051.38
2023-03-28,53,8.1,6.0,-1.1,2023-03-28T05:56,2023-03-28T18:44,0.00
2023-03-29,61,12.6,10.0,5.6,2023-03-29T05:53,2023-03-29T18:46,0.00
2023-03-30,51,14.4,11.2,5.0,2023-03-30T05:51,2023-03-30T18:48,23917.03
2023-03-31,51,10.5,7.6,3.0,2023-03-31T05:48,2023-03-31T18:50,5690.81
2023-04-01,51,7.4,4.1,0.8,2023-04-01T05:45,2023-04-01T18:52,1524.88
2023-04-02,3,10.1,7.8,0.0,2023-04-02T05:43,2023-04-02T18:54,18550.57
2023-04-03,2,11.4,8.4,-3.4,2023-04-03T05:40,2023-04-03T18:56,40430.40
2023-04-04,3,11.7,8.1,-2.3,2023-04-04T05:37,2023-04-04T18:58,29033.33
2023-04-05,53,12.5,10.9,4.0,2023-04-05T05:35,2023-04-05T19:00,0.00
2023-04-06,51,11.8,7.6,0.9,2023-04-06T05:32,2023-04-06T19:02,37568.34
2023-04-07,3,12.2,8.9,-2.6,2023-04-07T05:30,2023-04-07T19:04,44493.30
2023-04-08,3,13.9,10.9,2.5,2023-04-08T05:27,2023-04-08T19:06,38177.48
2023-04-09,53,13.4,9.6,0.8,2023-04-09T05:25,2023-04-09T19:08,24506.07
2023-04-10,53,11.5,7.2,0.7,2023-04-10T05:22,2023-04-10T19:10,42497.52
2023-04-11,71,11.0,6.5,0.8,2023-04-11T05:20,2023-04-11T19:12,28748.89
2023-04-12,75,10.1,6.2,-3.0,2023-04-12T05:17,2023-04-12T19:14,40386.19
2023-04-13,61,10.9,8.2,-0.2,2023-04-13T05:14,2023-04-13T19:16,24922.02
2023-04-14,73,11.8,8.8,0.7,2023-04-14T05:12,2023-04-14T19:18,43814.70
2023-04-15,3,13.4,10.4,-3.0,2023-04-15T05:09,2023-04-15T19:20,35191.94
2023-04-16,51,13.2,11.5,4.8,2023-04-16T05:07,2023-04-16T19:22,0.00
2023-04-17,51,15.0,14.9,7.9,2023-04-17T05:04,2023-04-17T19:24,6015.54
2023-04-18,3,12.8,9.5,1.9,2023-04-18T05:02,2023-04-18T19:26,37351.78
2023-04-19,2,12.7,8.1,0.4,2023-04-19T04:59,2023-04-19T19:28,47225.51
2023-04-20,1,12.4,7.8,1.6,2023-04-20T04:57,2023-04-20T19:30,47390.84
2023-04-21,0,13.9,9.5,0.6,2023-04-21T04:54,2023-04-21T19:33,47930.39
2023-04-22,51,12.8,7.9,1.5,2023-04-22T04:52,2023-04-22T19:35,32400.00
2023-04-23,51,11.9,8.0,1.2,2023-04-23T04:49,2023-04-23T19:37,28909.59
2023-04-24,51,9.4,5.4,-2.7,2023-04-24T04:47,2023-04-24T19:39,48183.71
