time,weather_code,temperature_2m_max,sunshine_duration,temperature_2m_min,sunrise,sunset,precipitation_hours
2023-01-01,61,2.4,-4.5,2023-01-01T08:47,2023-01-01T15:36,249.86,12.0
2023-01-02,2,-2.0,-6.0,2023-01-02T08:47,2023-01-02T15:37,17747.64,0.0
2023-01-03,73,4.3,-4.9,2023-01-03T08:47,2023-01-03T15:39,0.00,13.0
2023-01-04,61,4.4,-1.1,2023-01-04T08:46,2023-01-04T15:40,3600.00,9.0
2023-01-05,53,4.9,-4.6,2023-01-05T08:46,2023-01-05T15:41,7505.28,8.0
2023-01-06,53,3.5,-0.7,2023-01-06T08:45,2023-01-06T15:43,17602.79,1.0
2023-01-07,53,5.3,-0.4,2023-01-07T08:44,2023-01-07T15:45,3009.47,11.0
2023-01-08,51,1.1,-2.3,2023-01-08T08:43,2023-01-08T15:46,18753.30,1.0
2023-01-09,73,0.7,-3.2,2023-01-09T08:43,2023-01-09T15:48,18987.71,1.0
2023-01-10,53,3.8,-2.5,2023-01-10T08:42,2023-01-10T15:50,0.00,11.0
2023-01-11,3,1.2,-2.1,2023-01-11T08:41,2023-01-11T15:51,15175.37,0.0
2023-01-12,61,1.9,-5.0,2023-01-12T08:40,2023-01-12T15:53,8502.80,8.0
2023-01-13,51,0.9,-4.8,2023-01-13T08:39,2023-01-13T15:55,13471.85,8.0
2023-01-14,73,1.8,-3.8,2023-01-14T08:38,2023-01-14T15:57,14414.24,13.0
2023-01-15,73,-1.9,-6.6,2023-01-15T08:36,2023-01-15T15:59,19880.69,5.0
2023-01-16,3,-4.9,-9.3,2023-01-16T08:35,2023-01-16T16:01,20366.65,0.0
2023-01-17,71,-4.4,-8.3,2023-01-17T08:34,2023-01-17T16:03,16417.12,4.0
2023-01-18,71,-3.1,-7.3,2023-01-18T08:33,2023-01-18T16:05,13125.55,3.0
2023-01-19,73,-2.1,-7.9,2023-01-19T08:31,2023-01-19T16:07,14538.89,1.0
2023-01-20,3,0.5,-5.9,2023-01-20T08:30,2023-01-20T16:09,21524.96,0.0
2023-01-21,3,-1.6,-5.3,2023-01-21T08:28,2023-01-21T16:11,3600.00,0.0
2023-01-22,3,3.0,-2.1,2023-01-22T08:27,2023-01-22T16:13,4179.07,0.0
2023-01-23,51,6.2,2.0,2023-01-23T08:25,2023-01-23T16:15,786.07,3.0
2023-01-24,51,11.6,4.0,2023-01-24T08:23,2023-01-24T16:17,22625.99,2.0
2023-01-25,53,5.9,0.1,2023-01-25T08:21,2023-01-25T16:19,19952.59,1.0
2023-01-26,51,1.4,-1.5,2023-01-26T08:20,2023-01-26T16:22,7525.82,4.0
2023-01-27,3,1.7,-5.5,2023-01-27T08:18,2023-01-27T16:24,2158.58,0.0
2023-01-28,51,2.6,-2.7,2023-01-28T08:16,2023-01-28T16:26,23790.03,1.0
2023-01-29,51,6.9,-2.4,2023-01-29T08:14,2023-01-29T16:28,1321.63,3.0
2023-01-30,51,2.5,-2.6,2023-01-30T08:12,2023-01-30T16:31,24167.57,1.0
2023-01-31,51,2.8,-3.2,2023-01-31T08:10,2023-01-31T16:33,24537.95,3.0
2023-02-01,53,-0.0,-2.8,2023-02-01T08:08,2023-02-01T16:35,24782.65,4.0
2023-02-02,61,7.2,-0.0,2023-02-02T08:06,2023-02-02T16:38,377.11,13.0
2023-02-03,51,5.2,0.3,2023-02-03T08:04,2023-02-03T16:40,0.00,1.0
2023-02-04,51,5.2,-2.5,2023-02-04T08:02,2023-02-04T16:42,2202.44,2.0
2023-02-05,3,1.7,-3.4,2023-02-05T08:00,2023-02-05T16:45,18591.96,0.0
2023-02-06,3,4.6,-3.3,2023-02-06T07:58,2023-02-06T16:47,25535.88,0.0
2023-02-07,51,6.9,-1.2,2023-02-07T07:56,2023-02-07T16:49,14564.27,3.0
2023-02-08,53,2.8,-2.3,2023-02-08T07:54,2023-02-08T16:51,2062.46,3.0
2023-02-09,3,2.8,-3.4,2023-02-09T07:51,2023-02-09T16:54,21615.66,0.0
2023-02-10,3,7.7,-0.3,2023-02-10T07:49,2023-02-10T16:56,1381.82,0.0
2023-02-11,3,8.8,2.8,2023-02-11T07:47,2023-02-11T16:58,18240.83,0.0
2023-02-12,3,5.7,-0.4,2023-02-12T07:44,2023-02-12T17:01,24323.09,0.0
2023-02-13,0,3.7,-3.2,2023-02-13T07:42,2023-02-13T17:03,28651.86,0.0
2023-02-14,3,4.1,-3.7,2023-02-14T07:40,2023-02-14T17:05,22887.49,0.0
2023-02-15,51,4.3,-0.4,2023-02-15T07:37,2023-02-15T17:08,16814.51,2.0
2023-02-16,51,4.5,0.1,2023-02-16T07:35,2023-02-16T17:10,5142.43,7.0
2023-02-17,61,6.3,-1.1,2023-02-17T07:32,2023-02-17T17:12,28478.43,5.0
2023-02-18,71,3.5,-1.5,2023-02-18T07:30,2023-02-18T17:14,16755.50,10.0
2023-02-19,51,5.3,-4.6,2023-02-19T07:27,2023-02-19T17:17,0.00,4.0
2023-02-20,51,8.2,2.8,2023-02-20T07:25,2023-02-20T17:19,13088.88,2.0
2023-02-21,51,9.3,3.4,2023-02-21T07:22,2023-02-21T17:21,27983.80,1.0
2023-02-22,63,3.9,-2.9,2023-02-22T07:20,2023-02-22T17:24,6321.59,11.0
2023-02-23,3,3.8,-5.2,2023-02-23T07:17,2023-02-23T17:26,21606.76,0.0
2023-02-24,51,3.7,-3.1,2023-02-24T07:15,2023-02-24T17:28,8641.99,3.0
2023-02-25,3,-1.2,-3.2,2023-02-25T07:12,2023-02-25T17:30,4934.12,0.0
2023-02-26,3,3.4,-5.2,2023-02-26T07:10,2023-02-26T17:33,14049.16,0.0
2023-02-27,3,2.4,-6.3,2023-02-27T07:07,2023-02-27T17:35,18041.86,0.0
2023-02-28,51,2.5,-0.5,2023-02-28T07:05,2023-02-28T17:37,376.74,4.0
2023-03-01,51,2.6,-0.2,2023-03-01T07:02,2023-03-01T17:39,3270.09,1.0
2023-03-02,51,2.7,-0.7,2023-03-02T06:59,2023-03-02T17:42,1668.17,7.0
2023-03-03,3,1.3,-3.7,2023-03-03T06:57,2023-03-03T17:44,19346.40,0.0
2023-03-04,51,1.1,-2.8,2023-03-04T06:54,2023-03-04T17:46,1745.62,3.0
2023-03-05,53,1.6,-2.5,2023-03-05T06:51,2023-03-05T17:48,8133.48,7.0
2023-03-06,71,-1.3,-7.5,2023-03-06T06:49,2023-03-06T17:50,32614.09,13.0
2023-03-07,2,-5.6,-10.0,2023-03-07T06:46,2023-03-07T17:53,35262.74,0.0
2023-03-08,1,-2.7,-11.6,2023-03-08T06:43,2023-03-08T17:55,35698.53,0.0
2023-03-09,71,-2.1,-11.1,2023-03-09T06:41,2023-03-09T17:57,34833.69,3.0
2023-03-10,71,-1.5,-9.1,2023-03-10T06:38,2023-03-10T17:59,36399.68,1.0
2023-03-11,73,-0.3,-7.8,2023-03-11T06:35,2023-03-11T18:02,36163.17,3.0
2023-03-12,73,8.2,-4.1,2023-03-12T06:32,2023-03-12T18:04,12405.16,13.0
2023-03-13,73,3.4,-5.8,2023-03-13T06:30,2023-03-13T18:06,0.00,19.0
2023-03-14,71,-2.8,-8.3,2023-03-14T06:27,2023-03-14T18:08,37614.91,2.0
2023-03-15,71,2.3,-7.2,2023-03-15T06:24,2023-03-15T18:10,26297.32,4.0
2023-03-16,73,7.3,-2.0,2023-03-16T06:21,2023-03-16T18:12,7200.00,13.0
2023-03-17,63,11.2,2.2,2023-03-17T06:19,2023-03-17T18:15,36000.00,6.0
2023-03-18,51,7.8,1.1,2023-03-18T06:16,2023-03-18T18:17,10850.28,2.0
2023-03-19,53,5.2,0.4,2023-03-19T06:13,2023-03-19T18:19,18000.00,8.0
2023-03-20,53,3.7,-1.9,2023-03-20T06:11,2023-03-20T18:21,6545.67,11.0
2023-03-21,61,9.9,3.8,2023-03-21T06:08,2023-03-21T18:23,31656.72,7.0
2023-03-22,53,3.9,0.7,2023-03-22T06:05,2023-03-22T18:25,38519.06,7.0
2023-03-23,51,6.9,0.4,2023-03-23T06:03,2023-03-23T18:27,37339.13,5.0
2023-03-24,63,7.6,-0.2,2023-03-24T06:00,2023-03-24T18:30,35545.31,5.0
2023-03-25,63,2.3,-1.5,2023-03-25T05:57,2023-03-25T18:32,18462.05,16.0
2023-03-26,73,-0.3,-6.3,2023-03-26T05:54,2023-03-26T18:34,39501.20,6.0
2023-03-27,2,2.5,-7.1,2023-03-27T05:51,2023-03-27T18:36,41411.46,0.0
2023-03-28,55,2.8,-5.3,2023-03-28T05:49,2023-03-28T18:38,0.00,11.0
2023-03-29,53,6.0,0.5,2023-03-29T05:46,2023-03-29T18:40,0.00,10.0
2023-03-30,51,12.7,0.7,2023-03-30T05:43,2023-03-30T18:43,41912.02,3.0
2023-03-31,51,3.1,0.2,2023-03-31T05:40,2023-03-31T18:45,0.00,14.0
2023-04-01,51,2.1,0.0,2023-04-01T05:38,2023-04-01T18:47,0.00,10.0
2023-04-02,3,4.1,-1.5,2023-04-02T05:35,2023-04-02T18:49,17695.32,0.0
2023-04-03,3,2.3,-1.6,2023-04-03T05:32,2023-04-03T18:51,42602.14,0.0
2023-04-04,3,6.2,-1.9,2023-04-04T05:29,2023-04-04T18:53,41358.02,0.0
2023-04-05,61,8.1,1.3,2023-04-05T05:27,2023-04-05T18:55,227.13,11.0
2023-04-06,61,6.3,-0.0,2023-04-06T05:24,2023-04-06T18:58,10692.26,16.0
2023-04-07,51,6.6,-1.6,2023-04-07T05:21,2023-04-07T19:00,23919.95,6.0
2023-04-08,51,3.8,1.8,2023-04-08T05:19,2023-04-08T19:02,9312.17,2.0
2023-04-09,53,3.0,0.9,2023-04-09T05:16,2023-04-09T19:04,22500.88,5.0
2023-04-10,53,8.6,0.3,2023-04-10T05:13,2023-04-10T19:06,33436.05,10.0
2023-04-11,63,7.5,-1.6,2023-04-11T05:11,2023-04-11T19:08,39797.88,6.0
2023-04-12,73,2.5,-4.4,2023-04-12T05:08,2023-04-12T19:10,38654.16,17.0
2023-04-13,71,4.9,-2.5,2023-04-13T05:05,2023-04-13T19:12,25239.54,16.0
2023-04-14,53,5.5,-2.1,2023-04-14T05:03,2023-04-14T19:15,44258.90,3.0
2023-04-15,51,6.6,-1.9,2023-04-15T05:00,2023-04-15T19:17,37016.41,1.0
