time,weather_code,temperature_2m_max,temperature_2m_min,sunrise,sunset,sunshine_duration,precipitation_hours
2023-01-01,51,15.9,11.0,2023-01-01T07:17,2023-01-01T15:02,14188.37,1.0
2023-01-02,53,14.4,8.7,2023-01-02T07:16,2023-01-02T15:03,11649.95,8.0
2023-01-03,3,7.9,1.2,2023-01-03T07:16,2023-01-03T15:04,22684.39,0.0
2023-01-04,61,10.3,3.4,2023-01-04T07:16,2023-01-04T15:05,0.00,16.0
2023-01-05,53,9.5,4.1,2023-01-05T07:16,2023-01-05T15:06,19306.23,6.0
2023-01-06,51,10.1,4.0,2023-01-06T07:15,2023-01-06T15:08,1965.52,4.0
2023-01-07,3,10.2,4.3,2023-01-07T07:15,2023-01-07T15:09,20160.99,0.0
2023-01-08,51,8.3,5.0,2023-01-08T07:14,2023-01-08T15:10,0.00,7.0
2023-01-09,61,8.1,3.9,2023-01-09T07:14,2023-01-09T15:12,11247.42,4.0
2023-01-10,3,7.5,3.2,2023-01-10T07:13,2023-01-10T15:13,12700.99,0.0
2023-01-11,61,8.0,3.6,2023-01-11T07:12,2023-01-11T15:15,0.00,12.0
2023-01-12,61,9.9,5.7,2023-01-12T07:12,2023-01-12T15:16,22.09,12.0
2023-01-13,55,10.1,6.8,2023-01-13T07:11,2023-01-13T15:18,16531.45,8.0
2023-01-14,61,8.9,6.5,2023-01-14T07:10,2023-01-14T15:19,6915.72,8.0
2023-01-15,61,9.2,4.9,2023-01-15T07:09,2023-01-15T15:21,7253.76,6.0
2023-01-16,3,6.8,1.8,2023-01-16T07:08,2023-01-16T15:23,22785.88,0.0
2023-01-17,71,4.3,-2.6,2023-01-17T07:08,2023-01-17T15:24,13362.92,4.0
2023-01-18,73,1.8,-4.0,2023-01-18T07:07,2023-01-18T15:26,0.00,6.0
2023-01-19,71,2.1,-3.5,2023-01-19T07:05,2023-01-19T15:27,18568.58,1.0
2023-01-20,3,1.9,-4.0,2023-01-20T07:04,2023-01-20T15:29,18098.33,0.0
2023-01-21,73,3.1,-1.3,2023-01-21T07:03,2023-01-21T15:31,0.00,9.0
2023-01-22,73,1.9,0.8,2023-01-22T07:02,2023-01-22T15:33,0.00,3.0
2023-01-23,3,2.6,-0.7,2023-01-23T07:01,2023-01-23T15:34,14441.35,0.0
2023-01-24,3,2.1,-3.0,2023-01-24T06:59,2023-01-24T15:36,13030.74,0.0
2023-01-25,3,1.7,0.1,2023-01-25T06:58,2023-01-25T15:38,0.00,0.0
